registration,manufacturerSerial,lineNumber,family,familyCode,model,status,deliveryDateText,sourceUrl
N101DQ,9409,,Airbus A321,a321,321-211,Active,13/02/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N101DU,50020,,Airbus A220,csr,220-171,Active,25/10/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr.htm
N102DN,9485,,Airbus A321,a321,321-211,Active,12/03/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N102DU,50021,,Airbus A220,csr,220-171,Active,18/12/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr.htm
N103DU,50022,,Airbus A220,csr,220-171,Active,08/12/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr.htm
N103DY,9538,,Airbus A321,a321,321-211,Active,28/08/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N104DN,10009,,Airbus A321,a321,321-211,Active,28/08/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N104DU,50023,,Airbus A220,csr,220-171,Active,31/12/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr.htm
N105DU,50024,,Airbus A220,csr,220-171,Active,16/02/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr.htm
N105DX,10030,,Airbus A321,a321,321-211,Active,24/09/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N106DN,10088,,Airbus A321,a321,321-211,Active,08/10/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N106DU,50025,,Airbus A220,csr,220-171,Active,22/02/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr.htm
N107DN,9582,,Airbus A321,a321,321-211,Active,13/11/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N107DU,50026,,Airbus A220,csr,220-171,Active,01/03/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr.htm
N108DN,10003,,Airbus A321,a321,321-211,Active,18/03/2021,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N108DQ,50027,,Airbus A220,csr,220-171,Active,26/04/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr.htm
N109DN,9588,,Airbus A321,a321,321-211,Active,08/06/2021,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
